Year,Month,Season,Vehicle_Type,Region,City,Latitude,Longitude,Sales,Price,Advertising_Expenditure,Unemployment_Rate,GDP,Recession,Revenue
2021,4,Spring,Hatchback,Central,Minneapolis,44.9778,-93.265,50.94,16.66,65.16,9.42,70.59,1,848.82
2019,1,Winter,Truck,West,San Francisco,37.7749,-122.4194,121.93,36.85,34.81,4.44,70.83,0,4492.84
2017,12,Winter,Truck,West,Phoenix,33.4484,-112.074,128.18,42.5,49.55,4.71,75.5,0,5448.05
2023,10,Fall,Coupe,Central,Kansas City,39.0997,-94.5786,108.69,32.99,42.0,4.84,78.94,0,3585.91
2015,4,Spring,Hatchback,South,Dallas,32.7767,-96.797,111.35,15.87,51.0,4.54,68.94,0,1766.7
2018,8,Summer,Electric,West,Los Angeles,34.0522,-118.2437,219.98,53.11,85.11,5.66,75.92,0,11682.09
2023,12,Winter,SUV,West,Phoenix,33.4484,-112.074,121.53,30.57,45.87,4.96,80.46,0,3715.53
2017,1,Winter,Hatchback,East,Baltimore,39.2904,-76.6122,105.34,17.61,27.38,4.38,72.38,0,1855.38
2021,7,Summer,Truck,Central,Minneapolis,44.9778,-93.265,168.1,42.75,48.78,5.33,73.95,0,7185.62
2021,7,Summer,Hatchback,East,Philadelphia,39.9526,-75.1652,142.97,22.21,52.26,4.03,78.55,0,3175.1
2015,4,Spring,Coupe,Central,St. Louis,38.627,-90.1994,110.87,31.34,52.86,3.58,66.92,0,3474.63
2017,6,Summer,Coupe,West,San Francisco,37.7749,-122.4194,113.53,32.74,27.76,4.68,71.17,0,3716.42
2018,11,Fall,Hybrid,South,Miami,25.7617,-80.1918,143.62,25.05,28.05,4.61,73.52,0,3597.78
2021,6,Summer,Truck,East,Philadelphia,39.9526,-75.1652,57.66,41.57,40.01,10.37,63.52,1,2396.67
2022,9,Fall,Sedan,West,Los Angeles,34.0522,-118.2437,121.66,21.83,65.07,6.09,78.03,0,2655.44
2015,1,Winter,Sedan,East,Washington,38.9072,-77.0369,97.13,24.68,61.51,4.99,71.02,0,2397.61
2022,11,Fall,Van,North,Chicago,41.8781,-87.6298,109.96,33.71,44.16,6.22,80.43,0,3706.74
2020,3,Spring,Coupe,West,Phoenix,33.4484,-112.074,45.36,31.7,59.74,8.45,67.55,1,1437.86
2018,9,Fall,SUV,North,Detroit,42.3314,-83.0458,140.33,30.89,31.54,5.81,73.53,0,4334.39
2015,2,Winter,Electric,North,Detroit,42.3314,-83.0458,126.7,53.82,40.98,5.15,73.0,0,6819.3
