Flight_Number,Launch_Name,Date_UTC,Year,Month,Quarter,Success,Success_Rate,Rocket_Name,Rocket_Type,Cost_Per_Launch,Launchpad_Name,Location,Region,Latitude,Longitude,Payload_Count,Payload_Mass_kg,Payload_Type,Core_Landing,Core_Reused,Year_Category,Date,Landing_Success,Landing_Success_Label,Launch_Success_Binary,Cost_Category,Payload_Mass_Category,Launch_Period,Landing_Attempt
1,FalconSat,2006-03-24T22:30:00.000Z,2006,3,1,False,0.0,Unknown,Unknown,0,Kwajalein Atoll,Omelek Island,Marshall Islands,9.0477206,167.7431292,1,20.0,Satellite,No Attempt,False,Early,2006-03-24 22:30:00+00:00,0,Failed/No Attempt,0,Unknown,Light,Early,0
2,DemoSat,2007-03-21T01:10:00.000Z,2007,3,1,False,0.0,Unknown,Unknown,0,Kwajalein Atoll,Omelek Island,Marshall Islands,9.0477206,167.7431292,1,0.0,Satellite,No Attempt,False,Early,2007-03-21 01:10:00+00:00,0,Failed/No Attempt,0,Unknown,,Early,0
3,Trailblazer,2008-08-03T03:34:00.000Z,2008,8,3,False,0.0,Unknown,Unknown,0,Kwajalein Atoll,Omelek Island,Marshall Islands,9.0477206,167.7431292,2,0.0,Satellite,No Attempt,False,Early,2008-08-03 03:34:00+00:00,0,Failed/No Attempt,0,Unknown,,Early,0
4,RatSat,2008-09-28T23:15:00.000Z,2008,9,3,True,1.0,Unknown,Unknown,0,Kwajalein Atoll,Omelek Island,Marshall Islands,9.0477206,167.7431292,1,165.0,Satellite,No Attempt,False,Early,2008-09-28 23:15:00+00:00,0,Failed/No Attempt,1,Unknown,Light,Early,0
5,RazakSat,2009-07-13T03:35:00.000Z,2009,7,3,True,1.0,Unknown,Unknown,0,Kwajalein Atoll,Omelek Island,Marshall Islands,9.0477206,167.7431292,1,200.0,Satellite,No Attempt,False,Early,2009-07-13 03:35:00+00:00,0,Failed/No Attempt,1,Unknown,Light,Early,0
6,Falcon 9 Test Flight,2010-06-04T18:45:00.000Z,2010,6,2,True,1.0,Unknown,Unknown,0,CCSFS SLC 40,Cape Canaveral,Florida,28.5618571,-80.577366,1,0.0,Dragon Boilerplate,No Attempt,False,Early,2010-06-04 18:45:00+00:00,0,Failed/No Attempt,1,Unknown,,Early,0
7,COTS 1,2010-12-08T15:43:00.000Z,2010,12,4,True,1.0,Unknown,Unknown,0,CCSFS SLC 40,Cape Canaveral,Florida,28.5618571,-80.577366,2,0.0,Dragon 1.0,No Attempt,False,Early,2010-12-08 15:43:00+00:00,0,Failed/No Attempt,1,Unknown,,Early,0
8,COTS 2,2012-05-22T07:44:00.000Z,2012,5,2,True,1.0,Unknown,Unknown,0,CCSFS SLC 40,Cape Canaveral,Florida,28.5618571,-80.577366,1,525.0,Dragon 1.0,No Attempt,False,Mid,2012-05-22 07:44:00+00:00,0,Failed/No Attempt,1,Unknown,Light,Early,0
9,CRS-1,2012-10-08T00:35:00.000Z,2012,10,4,True,1.0,Unknown,Unknown,0,CCSFS SLC 40,Cape Canaveral,Florida,28.5618571,-80.577366,2,400.0,Dragon 1.0,No Attempt,False,Mid,2012-10-08 00:35:00+00:00,0,Failed/No Attempt,1,Unknown,Light,Early,0
10,CRS-2,2013-03-01T19:10:00.000Z,2013,3,1,True,1.0,Unknown,Unknown,0,CCSFS SLC 40,Cape Canaveral,Florida,28.5618571,-80.577366,1,677.0,Dragon 1.0,No Attempt,False,Mid,2013-03-01 19:10:00+00:00,0,Failed/No Attempt,1,Unknown,Light,Early,0
11,CASSIOPE,2013-09-29T16:00:00.000Z,2013,9,3,True,1.0,Unknown,Unknown,0,VAFB SLC 4E,Vandenberg Space Force Base,California,34.632093,-120.610829,1,500.0,Satellite,Failed,False,Mid,2013-09-29 16:00:00+00:00,0,Failed/No Attempt,1,Unknown,Light,Early,1
12,SES-8,2013-12-03T22:41:00.000Z,2013,12,4,True,1.0,Unknown,Unknown,0,CCSFS SLC 40,Cape Canaveral,Florida,28.5618571,-80.577366,1,3170.0,Satellite,No Attempt,False,Mid,2013-12-03 22:41:00+00:00,0,Failed/No Attempt,1,Unknown,Medium,Early,0
13,Thaicom 6,2014-01-06T18:06:00.000Z,2014,1,1,True,1.0,Unknown,Unknown,0,CCSFS SLC 40,Cape Canaveral,Florida,28.5618571,-80.577366,1,3325.0,Satellite,No Attempt,False,Mid,2014-01-06 18:06:00+00:00,0,Failed/No Attempt,1,Unknown,Medium,Early,0
14,CRS-3,2014-04-18T19:25:00.000Z,2014,4,2,True,1.0,Unknown,Unknown,0,CCSFS SLC 40,Cape Canaveral,Florida,28.5618571,-80.577366,1,2296.0,Dragon 1.1,Success,False,Mid,2014-04-18 19:25:00+00:00,1,Success,1,Unknown,Medium,Early,1
15,OG-2 Mission 1,2014-07-14T15:15:00.000Z,2014,7,3,True,1.0,Unknown,Unknown,0,CCSFS SLC 40,Cape Canaveral,Florida,28.5618571,-80.577366,1,1316.0,Satellite,Success,False,Mid,2014-07-14 15:15:00+00:00,1,Success,1,Unknown,Medium,Early,1
16,AsiaSat 8,2014-08-05T08:00:00.000Z,2014,8,3,True,1.0,Unknown,Unknown,0,CCSFS SLC 40,Cape Canaveral,Florida,28.5618571,-80.577366,1,4535.0,Satellite,No Attempt,False,Mid,2014-08-05 08:00:00+00:00,0,Failed/No Attempt,1,Unknown,Medium,Early,0
17,AsiaSat 6,2014-09-07T05:00:00.000Z,2014,9,3,True,1.0,Unknown,Unknown,0,CCSFS SLC 40,Cape Canaveral,Florida,28.5618571,-80.577366,1,4428.0,Satellite,No Attempt,False,Mid,2014-09-07 05:00:00+00:00,0,Failed/No Attempt,1,Unknown,Medium,Early,0
18,CRS-4,2014-09-21T05:52:00.000Z,2014,9,3,True,1.0,Unknown,Unknown,0,CCSFS SLC 40,Cape Canaveral,Florida,28.5618571,-80.577366,1,2216.0,Dragon 1.1,Failed,False,Mid,2014-09-21 05:52:00+00:00,0,Failed/No Attempt,1,Unknown,Medium,Early,1
19,CRS-5,2015-01-10T09:47:00.000Z,2015,1,1,True,1.0,Unknown,Unknown,0,CCSFS SLC 40,Cape Canaveral,Florida,28.5618571,-80.577366,1,2395.0,Dragon 1.1,Failed,False,Mid,2015-01-10 09:47:00+00:00,0,Failed/No Attempt,1,Unknown,Medium,Recent,1
20,DSCOVR,2015-02-11T23:03:00.000Z,2015,2,1,True,1.0,Unknown,Unknown,0,CCSFS SLC 40,Cape Canaveral,Florida,28.5618571,-80.577366,1,570.0,Satellite,Success,False,Mid,2015-02-11 23:03:00+00:00,1,Success,1,Unknown,Light,Recent,1
21,ABS-3A / Eutelsat 115W B,2015-03-02T03:50:00.000Z,2015,3,1,True,1.0,Unknown,Unknown,0,CCSFS SLC 40,Cape Canaveral,Florida,28.5618571,-80.577366,2,1954.0,Satellite,No Attempt,False,Mid,2015-03-02 03:50:00+00:00,0,Failed/No Attempt,1,Unknown,Medium,Recent,0
22,CRS-6,2015-04-14T20:10:00.000Z,2015,4,2,True,1.0,Unknown,Unknown,0,CCSFS SLC 40,Cape Canaveral,Florida,28.5618571,-80.577366,1,1898.0,Dragon 1.1,Failed,False,Mid,2015-04-14 20:10:00+00:00,0,Failed/No Attempt,1,Unknown,Medium,Recent,1
23,TürkmenÄlem 52°E / MonacoSAT,2015-04-27T23:03:00.000Z,2015,4,2,True,1.0,Unknown,Unknown,0,CCSFS SLC 40,Cape Canaveral,Florida,28.5618571,-80.577366,1,4707.0,Satellite,No Attempt,False,Mid,2015-04-27 23:03:00+00:00,0,Failed/No Attempt,1,Unknown,Medium,Recent,0
